Player (238),Pos,Age,YOE,Prev Team,Prev AAV,Type
LeBron James,PF,41.4,22,LAL,"$50,677,999",UFA / Bird
Trae Young,PG,27.7,7,WAS,"$43,031,940",PLAYER / $49.0M
Zach LaVine,SG,31.2,11,SAC,"$43,031,940",PLAYER / $49.0M
James Harden,SG,36.8,15,CLE,"$40,750,000",PLAYER / $42.3M
C.J. McCollum,SG,34.7,12,ATL,"$32,000,000",UFA / Bird
Khris Middleton,SF,34.8,13,DAL,"$31,000,000",UFA / Bird
Kristaps Porzingis,PF,30.8,9,GSW,"$30,000,000",UFA / Bird
Isaiah Hartenstein,C,28.1,7,OKC,"$29,000,000",CLUB / $28.5M
Andrew Wiggins,SF,31.2,11,MIA,"$27,250,001",PLAYER / $30.2M
Tobias Harris,PF,33.8,14,DET,"$26,000,000",UFA / Early Bird
Fred VanVleet,PG,32.2,9,HOU,"$25,000,000",PLAYER / $25.0M
Anfernee Simons,SG,27.0,7,CHI,"$25,000,000",UFA / Bird
Draymond Green,PF,36.2,13,GSW,"$25,000,000",PLAYER / $27.7M
John Collins,PF,28.7,8,LAC,"$25,000,000",UFA / Bird
Jonathan Kuminga,PF,23.7,4,ATL,"$23,400,000",CLUB / $24.3M
Kentavious Caldwell-Pope,SG,33.2,12,MEM,"$22,000,000",PLAYER / $21.6M
Nikola Vucevic,C,35.6,14,BOS,"$20,000,000",UFA / Bird
Norman Powell,SG,33.0,10,MIA,"$18,000,000",UFA / Bird
Harrison Barnes,PF,34.0,13,SAS,"$18,000,000",UFA / Bird
Collin Sexton,PG,27.4,7,CHI,"$17,737,500",UFA / Bird
Jusuf Nurkic,C,31.8,11,UTA,"$17,500,000",UFA / Bird
Zach Collins,C,28.5,8,CHI,"$17,410,848",UFA / Bird
Bogdan Bogdanovic,SG,33.8,8,LAC,"$17,000,000",CLUB / $16.0M
Rui Hachimura,PF,28.3,6,LAL,"$17,000,000",UFA / Bird
Luguentz Dort,SG,27.1,6,OKC,"$16,500,000",CLUB / $17.7M
Kevin Huerter,SG,27.8,7,DET,"$16,250,000",UFA / Bird
Mitchell Robinson,C,28.2,7,NYK,"$15,000,000",UFA / Bird
Austin Reaves,SG,28.0,4,LAL,"$13,456,968",PLAYER / $14.9M
Kelly Olynyk,PF,35.1,12,SAS,"$13,125,000",UFA / Bird
Coby White,PG,26.2,6,CHA,"$12,000,000",UFA / Bird
Robert Williams III,C,28.6,7,POR,"$12,000,000",UFA / Bird
Matisse Thybulle,SG,29.2,6,POR,"$11,025,000",UFA / Bird
Gabe Vincent,PG,29.9,6,ATL,"$11,000,000",UFA / Bird
Luke Kennard,SG,29.9,8,LAL,"$11,000,000",UFA / Non-Bird
Maxi Kleber,PF,34.3,8,LAL,"$11,000,000",UFA / Bird
Moritz Wagner,C,29.1,7,ORL,"$11,000,000",UFA / Bird
Brook Lopez,C,38.2,17,LAC,"$8,968,750",CLUB / $9.2M
Quentin Grimes,SG,26.1,4,PHI,"$8,741,209",UFA / Bird
Kelly Oubre Jr.,SF,30.5,10,PHI,"$8,182,575",UFA / Bird
Deandre Ayton,C,27.8,7,LAL,"$8,104,000",PLAYER / $8.1M
Simone Fontecchio,SF,30.5,3,MIA,"$8,000,000",UFA / Bird
Kevon Looney,C,30.3,10,NOP,"$8,000,000",CLUB / $8.0M
Egor Demin,PG,20.2,,BKN,"$7,835,171",RFA / Bird
Bennedict Mathurin,SG,23.9,3,LAC,"$7,484,043",RFA / Bird
Ayo Dosunmu,PG,26.3,4,MIN,"$7,000,000",UFA / Bird
Kenrich Williams,PF,31.5,7,OKC,"$6,792,500",CLUB / $7.2M
Ziaire Williams,SF,24.7,4,BKN,"$6,250,000",CLUB / $6.3M
Day'Ron Sharpe,C,24.6,4,BKN,"$6,250,000",CLUB / $6.3M
Dean Wade,PF,29.5,6,CLE,"$6,166,667",UFA / Bird
D'Angelo Russell,PG,30.2,10,WAS,"$5,827,125",PLAYER / $6.0M
Al Horford,C,40.0,18,GSW,"$5,827,125",PLAYER / $6.0M
Jett Howard,SG,22.7,2,ORL,"$5,793,195",UFA / Bird
Nicolas Batum,SF,37.4,17,LAC,"$5,741,640",CLUB / $5.9M
Guerschon Yabusele,PF,30.4,3,CHI,"$5,637,500",UFA / Non-Bird
Bradley Beal,SG,32.9,13,LAC,"$5,487,850",PLAYER / $5.6M
Ousmane Dieng,SF,23.0,3,MIL,"$5,266,551",RFA / Bird
Marcus Smart,PG,32.2,11,LAL,"$5,262,350",PLAYER / $5.4M
Kevin Porter Jr.,PG,26.1,5,MIL,"$5,262,350",PLAYER / $5.4M
Nick Richards,C,28.5,5,CHI,"$5,000,000",UFA / Bird
Andre Drummond,C,32.8,13,PHI,"$5,000,000",UFA / Early Bird
Jalen Duren,C,22.5,3,DET,"$4,868,736",RFA / Bird
Aaron Holiday,PG,29.7,7,HOU,"$4,784,700",UFA / Bird
Ochai Agbaji,SF,26.1,3,BKN,"$4,681,591",RFA / Bird
Mark Williams,C,24.4,3,PHX,"$4,500,253",RFA / Bird
Jose Alvarado,PG,28.1,4,NYK,"$4,500,000",PLAYER / $4.5M
Tari Eason,PF,25.1,3,HOU,"$4,064,312",RFA / Bird
Dwight Powell,C,34.8,11,DAL,"$4,000,000",UFA / Bird
Kevin Love,C,37.8,17,UTA,"$4,000,000",UFA / Bird
Nique Clifford,SF,24.3,,SAC,"$3,942,450",RFA / Bird
Daniss Jenkins,G,24.8,1,DET,"$3,904,762",CLUB / $4.0M
Jase Richardson,SG,20.6,,ORL,"$3,827,141",RFA / Bird
Gary Trent Jr.,SG,27.3,7,MIL,"$3,789,533",PLAYER / $3.9M
Gary Harris,SG,31.7,11,MIL,"$3,725,007",PLAYER / $3.8M
Kyle Lowry,PG,40.2,19,PHI,"$3,634,153",UFA / Early Bird
Jordan Clarkson,SG,34.0,11,NYK,"$3,634,153",UFA / Non-Bird
Garrett Temple,SG,40.1,15,TOR,"$3,634,153",UFA / Bird
Tim Hardaway Jr.,SG,34.2,12,DEN,"$3,634,153",UFA / Non-Bird
Joe Ingles,SF,38.7,11,MIN,"$3,634,153",UFA / Early Bird
Doug McDermott,SF,34.4,11,SAC,"$3,634,153",UFA / Early Bird
Jeff Green,PF,39.8,18,HOU,"$3,634,153",UFA / Bird
Larry Nance Jr.,PF,33.4,10,CLE,"$3,634,153",UFA / Non-Bird
Bismack Biyombo,C,33.8,14,SAS,"$3,634,153",UFA / Early Bird
DeAndre Jordan,C,37.8,17,NOP,"$3,571,495",UFA / Non-Bird
Taurean Prince,PF,32.2,9,MIL,"$3,559,818",PLAYER / $3.8M
Patrick Baldwin Jr.,SF,23.5,3,SAC,"$3,498,319",RFA / Two-Way
Jaxson Hayes,C,26.0,6,LAL,"$3,449,323",UFA / Bird
Dominick Barlow,PF,23.0,3,PHI,"$3,415,000",CLUB / $3.4M
Russell Westbrook,PG,37.5,17,SAC,"$3,386,366",UFA / Non-Bird
Walker Kessler,C,24.8,3,UTA,"$3,343,105",RFA / Bird
Gary Payton II,PG,33.5,9,GSW,"$3,303,774",UFA / Bird
Thomas Bryant,C,28.8,8,CLE,"$3,287,409",UFA / Non-Bird
De'Anthony Melton,SG,28.0,7,GSW,"$3,266,350",PLAYER / $3.5M
David Roddy,PF,25.2,3,DEN,"$3,246,472",RFA / Two-Way
MarJon Beauchamp,SG,25.6,3,PHI,"$3,152,399",UFA / Non-Bird
Bruce Brown Jr.,SG,29.8,7,DEN,"$3,080,921",UFA / Non-Bird
Josh Okogie,SG,27.8,7,HOU,"$3,080,921",UFA / Non-Bird
Landry Shamet,SG,29.2,7,NYK,"$3,080,921",UFA / Bird
Marvin Bagley III,PF,27.2,7,DAL,"$3,080,921",UFA / Non-Bird
Drew Eubanks,C,29.3,7,SAC,"$3,080,921",UFA / Non-Bird
Julian Champagnie,SF,24.9,3,SAS,"$3,000,000",CLUB / $3.0M
Wendell Moore Jr.,SG,24.7,3,DET,"$2,959,891",RFA / Two-Way
Jordan McLaughlin,PG,30.2,6,SAS,"$2,874,436",UFA / Early Bird
Javonte Green,SG,32.8,6,DET,"$2,874,436",UFA / Non-Bird
Amir Coffey,SG,28.9,6,PHX,"$2,874,436",UFA / Non-Bird
Thanasis Antetokounmpo,SF,33.8,6,MIL,"$2,874,436",RFA / Non-Bird
Ariel Hukporti,C,24.1,1,NYK,"$2,872,666",RFA / Early Bird
Peyton Watson,SG,23.8,3,DEN,"$2,816,879",RFA / Bird
Seth Curry,SG,35.8,12,GSW,"$2,777,830",UFA / Non-Bird
Jae’Sean Tate,SF,30.6,5,HOU,"$2,667,947",UFA / Bird
Anthony Gill,PF,33.6,5,WAS,"$2,667,947",UFA / Bird
Trendon Watford,PF,25.6,4,PHI,"$2,631,405",CLUB / $2.8M
Jericho Sims,C,27.6,4,MIL,"$2,631,405",PLAYER / $2.8M
Sandro Mamukelashvili,C,27.0,4,TOR,"$2,631,405",PLAYER / $2.8M
Pat Connaughton,SG,33.4,10,CHA,"$2,565,838",CLUB / $3.8M
Josh Minott,SF,23.5,3,BKN,"$2,481,705",CLUB / $2.6M
Nah'Shon Hyland,PG,25.7,4,MIN,"$2,461,463",UFA / Early Bird
Lindy Waters III,SF,28.8,4,SAS,"$2,461,463",UFA / Non-Bird
Jock Landale,C,30.6,4,ATL,"$2,461,463",UFA / Non-Bird
Precious Achiuwa,PF,26.7,5,SAC,"$2,453,285",UFA / Non-Bird
Neemias Queta,C,26.8,4,BOS,"$2,393,376",CLUB / $2.7M
Xavier Tillman,C,27.3,5,CHA,"$2,392,183",UFA / Bird
Collin Gillespie,PG,26.9,3,PHX,"$2,378,870",UFA / Early Bird
Blake Wesley,SG,23.2,3,POR,"$2,378,870",UFA / Non-Bird
Keaton Wallace,G,27.2,2,ATL,"$2,296,274",RFA / Non-Bird
Micah Potter,C,28.2,4,IND,"$2,164,576",CLUB / $2.8M
G.G. Jackson,PF,21.4,2,MEM,"$2,127,792",CLUB / $2.4M
Bryce McGowens,SG,23.6,3,NOP,"$2,081,293",UFA / Non-Bird
Leonard Miller,SF,22.5,2,CHI,"$2,079,935",CLUB / $2.4M
Jalen Pickett,PG,26.6,2,DEN,"$2,056,971",CLUB / $2.4M
Jamal Shead,PG,23.8,1,TOR,"$2,037,971",CLUB / $2.3M
Jamal Shead,PG,23.8,1,TOR,"$2,037,971",RFA / Bird
Jonathan Mogbo,C,24.6,1,TOR,"$2,037,971",CLUB / $2.3M
Julian Phillips,SF,22.6,2,MIN,"$2,029,935",CLUB / $2.4M
Craig Porter Jr.,G,26.2,2,CLE,"$2,004,935",CLUB / $2.4M
Andre Jackson Jr.,SG,24.5,2,MIL,"$1,909,826",CLUB / $2.4M
Jordan Walsh,SF,22.2,2,BOS,"$1,909,826",CLUB / $2.4M
Trayce Jackson-Davis,PF,26.2,2,TOR,"$1,909,826",CLUB / $2.4M
Mouhamed Gueye,PF,23.6,2,ATL,"$1,909,826",CLUB / $2.4M
Pelle Larsson,SG,25.2,1,MIA,"$1,802,934",CLUB / $2.3M
Karlo Matkovic,PF,25.2,1,NOP,"$1,802,934",CLUB / $2.3M
Rayan Rupert,SG,22.0,2,MEM,"$1,744,366",RFA / Two-Way
Killian Hayes,PG,24.8,5,SAC,"$1,731,408",CLUB / $3.0M
Keon Ellis,SF,26.4,3,CLE,"$1,701,903",UFA / Bird
Jalen Wilson,PF,25.6,2,BKN,"$1,654,511",RFA / Bird
Jamir Watkins,G,24.9,,WAS,"$1,641,444",CLUB / $2.2M
Jamir Watkins,G,24.9,,WAS,"$1,641,444",RFA / Early Bird
Jordan Miller,SF,26.3,2,LAC,"$1,605,225",CLUB / $2.5M
Jamaree Bouyea,PG,26.9,3,PHX,"$1,579,375",CLUB / $2.6M
Olivier-Maxence Prosper,PF,23.9,2,MEM,"$1,512,846",CLUB / $2.5M
Olivier-Maxence Prosper,PF,23.9,2,MEM,"$1,512,846",UFA / Early Bird
Jamal Cain,SF,27.2,3,ORL,"$1,456,330",CLUB / $2.6M
Dalano Banton,PG,26.6,4,BOS,"$1,414,820",CLUB / $2.8M
Dalen Terry,SG,23.8,3,PHI,"$1,355,235",CLUB / $2.6M
Ron Harper Jr.,SG,26.1,3,BOS,"$1,353,792",CLUB / $2.6M
Jaylen Clark,SG,24.6,2,MIN,"$1,342,110",RFA / Bird
Keshad Johnson,PF,24.9,1,MIA,"$1,340,130",RFA / Early Bird
J.D. Davison,PG,23.7,3,HOU,"$1,333,285",CLUB / $2.6M
Amari Williams,C,24.3,,BOS,"$1,320,523",CLUB / $2.2M
Kobe Sanders,G,24.0,,LAC,"$1,313,197",CLUB / $2.2M
Jordan Goodwin,PG,27.6,4,PHX,"$1,286,648",UFA / Early Bird
Mohamed Diawara,PF,21.1,,NYK,"$1,272,870",RFA / Non-Bird
Nick Smith Jr.,PG,22.1,2,LAL,"$1,255,505",CLUB / $2.5M
Tolu Smith III,F,25.8,1,DET,"$1,240,864",CLUB / $2.4M
Ryan Nembhard,PG,23.2,,DAL,"$1,236,396",CLUB / $2.2M
Mouhamadou Gueye,F,27.9,1,CHI,"$1,229,091",CLUB / $2.4M
Jahmir Young,PG,25.7,1,MIA,"$1,217,318",CLUB / $2.4M
Quinten Post,C,26.2,1,GSW,"$1,197,149",RFA / Early Bird
Max Shulga,G,23.9,,BOS,"$1,181,531",CLUB / $2.2M
Jevon Carter,PG,30.7,7,ORL,"$1,168,625",UFA / Non-Bird
Brandon Williams,PG,26.5,3,DAL,"$1,159,362",UFA / Bird
Mike Conley,PG,38.7,18,MIN,"$1,148,727",UFA / Non-Bird
Bez Mbeng,G,24.1,,UTA,"$1,112,035",CLUB / $2.2M
Malachi Smith,G,26.5,,BKN,"$1,108,378",CLUB / $2.2M
Hayden Gray,G,23.1,,UTA,"$1,082,774",CLUB / $2.2M
Mason Plumlee,C,36.2,12,SAS,"$939,867",UFA / Non-Bird
Cameron Thomas,SG,24.6,4,MIL,"$905,366",UFA / Non-Bird
Kyle Anderson,PF,32.7,11,MIN,"$898,095",UFA / Non-Bird
Pat Spencer,G,29.9,2,GSW,"$857,804",RFA / Early Bird
Tyus Jones,PG,30.1,10,DEN,"$814,552",UFA / Non-Bird
Jeremy Sochan,PF,23.0,3,NYK,"$806,628",UFA / Non-Bird
Spencer Jones,SF,24.9,1,DEN,"$623,967",RFA / Early Bird
Jeenathan Williams,SG,27.2,3,GSW,"$201,172",RFA / Two-Way
Trevor Keels,SG,22.8,1,MIA,"$197,514",RFA / Two-Way
Tyrese Martin,SF,27.2,2,PHI,"$193,857",RFA / Two-Way
Sean Pedulla,G,23.7,,LAC,"$193,857",RFA / Two-Way
Norchad Omier,F,24.8,,LAC,"$190,199",RFA / Two-Way
Jalen Slawson,PF,26.6,1,IND,"$160,938",RFA / Two-Way
Olivier Sarr,C,27.2,3,CLE,"$149,965",RFA / Two-Way
Josh Oduro,C,25.6,,NOP,"$146,307",RFA / Two-Way
A.J. Lawson,F,25.8,3,TOR,"$27,343",UFA / Non-Bird
Tony Bradley,C,28.4,7,ATL,"$17,706",UFA / Non-Bird
Charles Bassey,C,25.6,4,GSW,"$14,146",UFA / Non-Bird
Christian Koloko,C,25.9,2,ATL,"$13,197",RFA / Two-Way
John Tonje,G,25.1,,BOS,"$7,315",RFA / Two-Way
Elijah Harkless,PG,26.3,1,UTA,$0,RFA / Two-Way
Isaiah Stevens,PG,25.6,1,SAC,$0,RFA / Two-Way
Sharife Cooper,PG,25.0,2,WAS,$0,RFA / Two-Way
TyTy Washington Jr.,PG,24.5,3,LAC,$0,RFA / Two-Way
RayJ Dennis,PG,25.2,1,ATL,$0,RFA / Two-Way
Mac McClung,PG,27.4,3,CHI,$0,RFA / Two-Way
K.J. Simpson,PG,23.8,1,DEN,$0,RFA / Two-Way
Trey Alexander,SG,23.1,1,NOP,$0,RFA / Two-Way
Alijah Martin,SG,24.4,,TOR,$0,RFA / Two-Way
Antonio Reeves,SG,25.5,1,CHA,$0,RFA / Two-Way
Kevin McCullar Jr.,SG,25.2,1,NYK,$0,RFA / Two-Way
Ethan Thompson,SG,27.1,1,IND,$0,RFA / Two-Way
Brooks Barnhizer,SF,24.2,,OKC,$0,RFA / Two-Way
Isaiah Livers,SF,27.8,2,PHX,$0,RFA / Two-Way
David Jones-Garcia,SF,24.5,,SAS,$0,RFA / Two-Way
Harrison Ingram,SF,23.5,1,SAS,$0,RFA / Two-Way
Alex Antetokounmpo,SF,24.6,,MIL,$0,RFA / Two-Way
Dillon Jones,SF,24.6,1,NYK,$0,RFA / Two-Way
Leaky Black,SF,26.9,1,WAS,$0,RFA / Two-Way
Tyler Smith,SF,21.6,1,DAL,$0,RFA / Two-Way
Enrique Freeman,PF,25.8,1,MIN,$0,RFA / Two-Way
Oscar Tshiebwe,PF,26.5,2,UTA,$0,RFA / Two-Way
Colin Castleton,PF,26.0,2,ORL,$0,RFA / Two-Way
E.J. Liddell,PF,25.4,3,BKN,$0,RFA / Two-Way
Trey Jemison,PF,26.5,2,NYK,$0,RFA / Two-Way
Vladislav Goldin,C,25.0,,MIA,$0,RFA / Two-Way
Lachlan Olbrich,C,22.4,,LAL,$0,RFA / Two-Way
Branden Carlson,C,26.9,1,OKC,$0,RFA / Two-Way
Hunter Dickinson,COA,25.5,,NOP,$0,RFA / Two-Way
Moussa Cisse,F,23.8,,DAL,$0,RFA / Two-Way
Jahmai Mashack,F,23.6,,MEM,$0,RFA / Two-Way
Drew Timme,F,25.8,1,LAL,$0,RFA / Two-Way
Chaney Johnson,F,23.9,,BKN,$0,RFA / Two-Way
Caleb Love,G,24.7,,POR,$0,RFA / Two-Way
Chucky Hepburn,G,23.3,,TOR,$0,RFA / Two-Way
Tyson Etienne,G,26.7,,BKN,$0,RFA / Two-Way
Koby Brea,G,23.6,,PHX,$0,RFA / Two-Way
Curtis Jones,G,24.7,,DEN,$0,RFA / Two-Way
Taelon Peter,G,24.2,,IND,$0,RFA / Two-Way
Chris Manon,G,24.5,,LAL,$0,RFA / Two-Way
Isaiah Crawford,G,24.6,1,HOU,$0,RFA / Two-Way
Daeqwon Plowden,G,27.8,1,SAC,$0,RFA / Two-Way
Yuki Kawamura,G,25.1,1,CHI,$0,RFA
Alex Morales,G,28.5,,ORL,$0,RFA / Two-Way
